game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after,n_concurrent_at_start
823244,2026-03-26,0.125,1.0021609171346877,25000,3131.752866045899,285,285.0,0.05150877192982456,0,-0.05150877192982456,-14.68,24985.32,1
823649,2026-03-26,0.125,1.0021609171346877,24985.32,3129.913900762957,3129,3129.0,0.6146676254394375,1,0.38533237456056246,1205.705,26191.025,1
823812,2026-03-26,0.125,1.0021609171346877,26191.025,1564.9569503814785,655,655.0,0.6151450381679389,1,0.38485496183206114,252.08000000000004,26443.105000000003,2
824704,2026-03-26,0.125,1.0021609171346877,26443.105000000003,1043.3046335876522,1043,1043.0,0.6107670182166828,0,-0.6107670182166828,-637.0300000000001,25806.075000000004,3
824865,2026-03-26,0.125,1.0021609171346877,25806.075000000004,782.4784751907392,782,782.0,0.5652109974424551,1,0.43478900255754493,340.00500000000017,26146.080000000005,4
824541,2026-03-26,0.125,1.0021609171346877,26146.080000000005,521.6523167938261,423,423.0,0.16536643026004733,0,-0.16536643026004733,-69.95000000000002,26076.130000000005,6
823325,2026-03-26,0.125,1.0021609171346877,26076.130000000005,447.130557251851,447,447.0,0.15781879194630874,0,-0.15781879194630874,-70.545,26005.585000000006,7
823486,2026-03-26,0.125,1.0021609171346877,26005.585000000006,391.2392375953696,391,391.0,0.5990664961636828,1,0.4009335038363172,156.76500000000001,26162.350000000006,8
824218,2026-03-26,0.125,1.0021609171346877,26162.350000000006,625.9827801525914,625,625.0,0.17657599999999998,0,-0.17657599999999998,-110.35999999999999,26051.990000000005,5
823081,2026-03-26,0.125,1.0021609171346877,26051.990000000005,347.7682111958841,347,347.0,0.17024495677233428,1,0.8297550432276657,287.925,26339.915000000005,9
823163,2026-03-27,0.125,1.0021609171346877,26339.915000000005,3299.6041717062153,3299,3299.0,0.5197802364352835,0,-0.5197802364352835,-1714.755,24625.160000000003,1
823243,2026-03-27,0.125,1.0021609171346877,24625.160000000003,3084.796616273554,3084,3084.0,0.19642347600518806,0,-0.19642347600518806,-605.77,24019.390000000003,1
823893,2026-03-27,0.125,1.0021609171346877,24019.390000000003,1542.398308136777,1542,1542.0,0.6343450064850842,1,0.3656549935149158,563.8400000000001,24583.230000000003,2
824946,2026-03-27,0.125,1.0021609171346877,24583.230000000003,1504.4558694634843,1504,1504.0,0.5649999999999998,1,0.43500000000000016,654.2400000000002,25237.470000000005,2
822839,2026-03-27,0.125,1.0021609171346877,25237.470000000005,1002.9705796423228,1002,1002.0,0.6119610778443115,1,0.38803892215568847,388.8149999999998,25626.285000000003,3
824216,2026-03-28,0.125,1.0021609171346877,25626.285000000003,752.2279347317422,553,553.0,0.11490054249547921,0,-0.11490054249547921,-63.54,25562.745000000003,4
823162,2026-03-28,0.125,1.0021609171346877,25562.745000000003,615.9088080733243,149,149.0,0.8386912751677851,1,0.16130872483221492,24.035000000000025,25586.780000000002,5
823324,2026-03-28,0.125,1.0021609171346877,25586.780000000002,769.8860100916554,498,498.0,0.3305120481927711,0,-0.3305120481927711,-164.595,25422.185,4
