game_pk,game_date,n_entries,total_invested,avg_entry_mid,first_entry_mid,min_entry_mid,max_entry_mid,avg_spread,avg_depth_ratio,entry_duration_seconds,home_favored_at_avg,home_won,pnl_per_dollar,game_pnl
823244,2026-03-26,100,100.0,0.1012,0.22,0.055,0.225,0.014000000000000004,0.38254835419751665,2591,0,0,-0.1012,-10.12
823649,2026-03-26,100,100.0,0.52425,0.52,0.52,0.525,0.01150000000000001,0.36398431715327584,459,1,1,0.47575,47.575
823812,2026-03-26,100,100.0,0.5781999999999998,0.59,0.53,0.625,0.014999999999999993,0.36978969971892284,534,1,1,0.4218000000000002,42.18000000000002
824704,2026-03-26,100,100.0,0.6562000000000002,0.675,0.655,0.675,0.010000000000000009,0.3975831896001592,4759,1,0,-0.6562000000000002,-65.62000000000002
824865,2026-03-26,100,100.0,0.5666499999999998,0.5700000000000001,0.565,0.5700000000000001,0.013299999999999899,0.39461062983837847,1392,1,1,0.43335000000000024,43.33500000000002
824218,2026-03-26,100,100.0,0.5225,0.63,0.355,0.66,0.025599999999999977,0.32142601299124407,6219,1,0,-0.5225,-52.25
824541,2026-03-26,100,100.0,0.44630000000000003,0.445,0.20500000000000002,0.625,0.014400000000000001,0.31581610534197263,6466,0,0,-0.44630000000000003,-44.63
823325,2026-03-26,100,100.0,0.30385,0.46499999999999997,0.08499999999999999,0.46499999999999997,0.0115,0.1948723441855173,8852,0,0,-0.30385,-30.385
823486,2026-03-26,100,100.0,0.585,0.585,0.585,0.585,0.010000000000000009,0.39412057025812486,455,1,1,0.41500000000000004,41.5
823081,2026-03-26,100,100.0,0.49079999999999996,0.445,0.44,0.65,0.017200000000000014,0.24243081023529747,3903,0,1,0.5092000000000001,50.92000000000001
823163,2026-03-27,100,100.0,0.6759999999999998,0.635,0.63,0.685,0.010599999999999972,0.37317491102864303,440,1,0,-0.6759999999999998,-67.59999999999998
823243,2026-03-27,100,100.0,0.44525,0.44,0.44,0.455,0.01210000000000001,0.34727490714461956,67,0,0,-0.44525,-44.525
823893,2026-03-27,100,100.0,0.6349999999999998,0.635,0.635,0.635,0.010000000000000009,0.3951731194259539,1082,1,1,0.3650000000000002,36.50000000000002
824946,2026-03-27,100,100.0,0.5649999999999997,0.565,0.565,0.565,0.009999999999999898,0.3827679989209585,476,1,1,0.4350000000000003,43.50000000000003
822839,2026-03-27,100,100.0,0.6100000000000001,0.61,0.61,0.61,0.020000000000000018,0.3849101629709289,603,1,1,0.3899999999999999,38.99999999999999
824216,2026-03-28,100,100.0,0.2341999999999999,0.555,0.11499999999999999,0.555,0.022199999999999987,0.37161263975150993,3145,0,0,-0.2341999999999999,-23.41999999999999
823324,2026-03-28,100,100.0,0.57475,0.595,0.535,0.605,0.014700000000000006,0.23963583985583875,2025,1,0,-0.57475,-57.475
823162,2026-03-28,100,100.0,0.7719999999999998,0.575,0.44,0.98,0.017999999999999995,0.3538982486297971,5964,1,1,0.2280000000000002,22.80000000000002
823971,2026-03-28,100,100.0,0.6850000000000003,0.685,0.685,0.685,0.009999999999999898,0.33578328508604083,686,1,1,0.3149999999999997,31.49999999999997
